Ticker,username,Name,Industry,Total ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score
MMM,3m,3M Company (MMM),Industrials,34,12.6,12.6,8.4
AOS,aosmithhotwater,A. O. Smith Corporation (AOS),Industrials,32,9.5,14.9,7.6
ABT,abbottnews,Abbott Laboratories (ABT),Health Care,31,3.7,15.9,11.6
ABBV,abbvie,AbbVie Inc. (ABBV),Health Care,30,1,16.5,12.8
ACN,accenture,Accenture plc (ACN),Information Technology,15,1,8.2,6.3
ATVI,atvi_ab,"Activision Blizzard, Inc. (ATVI)",Communication Services,17,0.2,10.5,6.1
ADBE,adobe,Adobe Inc. (ADBE),Information Technology,14,0.4,8.1,5.1
AAP,advanceauto,"Advance Auto Parts, Inc. (AAP)",Consumer Discretionary,13,0.1,9.1,3.7
AES,theaescorp,The AES Corporation (AES),Utilities,34,19.2,8.6,5.9
AFL,aflac,Aflac Incorporated (AFL),Financials,24,2.1,8,13.6
A,agilent,"Agilent Technologies, Inc. (A)",Health Care,18,0.9,9.4,7.2
APD,airproducts,"Air Products and Chemicals, Inc. (APD)",Materials,12,6.4,1.6,3.7
AKAM,akamai,"Akamai Technologies, Inc. (AKAM)",Information Technology,21,1.8,11.8,7.3
ALB,albemarlecorp,Albemarle Corporation (ALB),Materials,37,19.7,8.9,8.7
ALXN,alexionpharma,"Alexion Pharmaceuticals, Inc. (ALXN)",Health Care,27,0.1,18.5,8.3
ALLE,allegionplc,Allegion plc (ALLE),Industrials,24,13.5,4.2,6.2
ADS,alliancedata,Alliance Data Systems Corporation (ADS),Information Technology,17,0.1,10.7,6.1
LNT,alliantenergy,Alliant Energy Corporation (LNT),Utilities,35,18.5,10.1,6.8
ALL,allstate,The Allstate Corporation (ALL),Financials,21,1.5,8.6,11.3
GOOGL,alphabetlnc,Alphabet Inc. (GOOGL),Communication Services,30,0.9,15.9,12.8
MO,altrianews,"Altria Group, Inc. (MO)",Consumer Staples,25,6.3,12.9,5.9
AMZN,amazon,"Amazon.com, Inc. (AMZN)",Consumer Discretionary,31,5.8,13.7,11
AAL,americanair,American Airlines Group Inc. (AAL),Industrials,30,11,14,5
AEP,aepnews,"American Electric Power Company, Inc. (AEP)",Utilities,31,16,9,6
AXP,americanexpress,American Express Company (AXP),Financials,22,0,12,10
AIG,aiginsurance,"American International Group, Inc. (AIG)",Financials,29,2,12,16
REIT,americantowerus,American Tower Corporation (REIT) (AMT),Real Estate,18,6,7,6
AWK,amwater,"American Water Works Company, Inc. (AWK)",Utilities,29,13,10,6
ABC,healthcare_abc,AmerisourceBergen Corporation (ABC),Health Care,18,3,9,6
AME,ametekinc,"AMETEK, Inc. (AME)",Industrials,29,9,12,8
AMGN,amgen,Amgen Inc. (AMGN),Health Care,23,0,16,7
APH,amphenol,Amphenol Corporation (APH),Information Technology,24,10,6,8
ADI,adi_news,"Analog Devices, Inc. (ADI)",Information Technology,26,11,8,8
ANSS,ansys,"ANSYS, Inc. (ANSS)",Information Technology,16,1,10,5
ANTM,antheminc,"Anthem, Inc. (ANTM)",Health Care,17,0,10,6
AON,aon_plc,Aon Plc (AON),Financials,23,0,10,12
AIV,aimcoapts,Apartment Investment and Management Company (AIV),Real Estate,19,7,5,6
AAPL,apple,Apple Inc. (AAPL),Information Technology,24,1,13,10
AMAT,applied4tech,"Applied Materials, Inc. (AMAT)",Information Technology,17,5,5,6
APTV,aptiv,Aptiv PLC (APTV),Consumer Discretionary,19,4,8,8
ADM,admupdates,Archer-Daniels-Midland Company (ADM),Consumer Staples,35,16,14,6
ANET,aristanetworks,"Arista Networks, Inc. (ANET)",Information Technology,20,1,10,9
AJG,gallagherglobal,Arthur J. Gallagher & Co. (AJG),Financials,25,0,11,14
AIZ,assurant,"Assurant, Inc. (AIZ)",Financials,26,1,11,14
T,att,AT&T Inc. (T),Communication Services,19,2,11,6
ATO,atmosenergy,Atmos Energy Corporation (ATO),Utilities,35,14,14,7
ADSK,autodesk,"Autodesk, Inc. (ADSK)",Information Technology,20,1,13,6
ADP,adp,"Automatic Data Processing, Inc. (ADP)",Information Technology,15,0,8,6
AZO,autozone,"AutoZone, Inc. (AZO)",Consumer Discretionary,12,0,8,4
AVB,avalonbay,"AvalonBay Communities, Inc. (AVB)",Real Estate,13,4,4,5
AVY,averydennison,Avery Dennison Corporation (AVY),Materials,19,13,2,4
BLL,ballcorphq,Ball Corporation (BLL),Materials,15,9,1,4
BAC,bankofamerica,Bank of America Corporation (BAC),Financials,28,2,16,10
BAX,baxter_intl,Baxter International Inc. (BAX),Health Care,29,3,17,9
BBY,bestbuy,"Best Buy Co., Inc. (BBY)",Consumer Discretionary,12,2,5,5
BIIB,biogen,Biogen Inc. (BIIB),Health Care,23,0,15,8
BA,boeing,The Boeing Company (BA),Industrials,39,8,21,10
BKNG,bookingholdings,Booking Holdings Inc. (BKNG),Consumer Discretionary,19,4,9,6
BWA,borgwarner,BorgWarner Inc. (BWA),Consumer Discretionary,24,5,11,8
BXP,bxpboston,"Boston Properties, Inc. (BXP)",Real Estate,14,4,5,5
BSX,bostonsci,Boston Scientific Corporation (BSX),Health Care,36,3,20,12
BMY,bmsnews,Bristol-Myers Squibb Company (BMY),Health Care,28,1,16,11
AVGO,broadcom,Broadcom Inc. (AVGO),Information Technology,26,9,8,9
BR,broadridge,"Broadridge Financial Solutions, Inc. (BR)",Information Technology,20,0,12,8
CHRW,chrobinson,"C.H. Robinson Worldwide, Inc. (CHRW)",Industrials,26,7,13,6
COG,cabotog,Cabot Oil & Gas Corporation (COG),Energy,50,24,16,10
CDNS,cadence,"Cadence Design Systems, Inc. (CDNS)",Information Technology,17,1,10,6
CPB,campbellsoupco,Campbell Soup Company (CPB),Consumer Staples,24,9,10,5
COF,capitalone,Capital One Financial Corporation (COF),Financials,26,0,16,10
CAH,cardinalhealth,"Cardinal Health, Inc. (CAH)",Health Care,14,2,8,5
KMX,carmax,"CarMax, Inc. (KMX)",Consumer Discretionary,14,0,9,5
CCL,carnivalplc,Carnival Corporation & Plc (CCL),Consumer Discretionary,22,9,9,4
CAT,caterpillarinc,Caterpillar Inc. (CAT),Industrials,38,7,21,10
CBOE,cboe,"Cboe Global Markets, Inc. (CBOE)",Financials,22,3,9,9
CE,celanese,Celanese Corporation (CE),Materials,30,15,8,8
CNP,centerpoint,"CenterPoint Energy, Inc. (CNP)",Utilities,32,14,12,6
CTL,centurylink,"CenturyLink, Inc. (CTL)",Communication Services,26,5,13,8
CERN,cerner,Cerner Corporation (CERN),Health Care,20,0,13,7
CF,CFIndustries,"CF Industries Holdings, Inc. (CF)",Materials,48,24,16,8
SCHW,charlesschwab,The Charles Schwab Corporation (SCHW),Financials,27,2,11,14
CHTR,charternewsroom,"Charter Communications, Inc. (CHTR)",Communication Services,20,2,9,8
CVX,chevron,Chevron Corporation (CVX),Energy,40,18,12,10
CMG,chipotletweets,"Chipotle Mexican Grill, Inc. (CMG)",Consumer Discretionary,25,4,15,6
CI,cigna,Cigna Corporation (CI),Health Care,63,76,53,67
CTAS,cintascorp,Cintas Corporation (CTAS),Industrials,25,5,12,7
C,citi,Citigroup Inc. (C),Financials,29,2,13,14
CFG,cfgcommercial,"Citizens Financial Group, Inc. (CFG)",Financials,28,2,14,12
CTXS,ctxs,"Citrix Systems, Inc. (CTXS)",Information Technology,19,1,11,6
CME,cmegroup,CME Group Inc. (CME),Financials,17,3,7,6
KO,cocacolaco,The Coca-Cola Company (KO),Consumer Staples,26,9,12,5
CTSH,cognizant,Cognizant Technology Solutions Corporation (CTSH),Information Technology,19,1,10,8
CL,cp_news,Colgate-Palmolive Company (CL),Consumer Staples,22,6,9,6
CMCSA,comcast,Comcast Corporation (CMCSA),Communication Services,20,1,9,9
CAG,conagrabrands,"Conagra Brands, Inc. (CAG)",Consumer Staples,29,9,14,6
CXO,conchooilfield,Concho Resources Inc. (CXO),Energy,52,27,14,10
ED,conedison,"Consolidated Edison, Inc. (ED)",Utilities,29,8,14,7
STZ,cbrands,"Constellation Brands, Inc. (STZ)",Consumer Staples,23,8,9,6
CPRT,copart,"Copart, Inc. (CPRT)",Industrials,24,5,11,8
GLW,corning,Corning Incorporated (GLW),Information Technology,20,7,5,8
COST,costco,Costco Wholesale Corporation (COST),Consumer Staples,22,5,11,7
COTY,cotyinc,Coty Inc. (COTY),Consumer Staples,32,14,10,8
REIT,crowncastle,Crown Castle International Corp. (REIT) (CCI),Real Estate,21,9,5,6
CSX,csx,CSX Corporation (CSX),Industrials,22,7,12,3
CMI,cummins,Cummins Inc. (CMI),Industrials,19,3,9,6
DHI,drhorton,"D.R. Horton, Inc. (DHI)",Consumer Discretionary,21,8,7,6
DRI,darden,"Darden Restaurants, Inc. (DRI)",Consumer Discretionary,22,6,12,5
DVA,davita,DaVita Inc. (DVA),Health Care,21,0,12,9
DE,johndeere,Deere & Company (DE),Industrials,18,5,10,3
DAL,delta,"Delta Air Lines, Inc. (DAL)",Industrials,26,9,12,5
XRAY,dentsplysirona,DENTSPLY SIRONA Inc. (XRAY),Health Care,20,3,11,7
DVN,devonenergy,Devon Energy Corporation (DVN),Energy,34,17,11,6
DXCM,dexcom,"DexCom, Inc. (DXCM)",Health Care,42,6,23,13
DFS,discover,Discover Financial Services (DFS),Financials,21,0,11,10
DISCA,discoveryinctv,"Discovery, Inc. (DISCA)",Communication Services,18,0,9,9
DISH,dish,DISH Network Corporation (DISH),Communication Services,21,2,10,9
DLTR,dollartree,"Dollar Tree, Inc. (DLTR)",Consumer Discretionary,20,4,10,6
D,dominionenergy,"Dominion Energy, Inc. (D)",Utilities,32,15,11,6
DPZ,dpz,"Domino's Pizza, Inc. (DPZ)",Consumer Discretionary,28,6,15,7
DOV,dovercorp,Dover Corporation (DOV),Industrials,33,9,16,8
DTE,dte_energy,DTE Energy Company (DTE),Utilities,31,14,10,6
DUK,dukeenergy,Duke Energy Corporation (DUK),Utilities,34,16,12,7
DRE,dukerealty,Duke Realty Corporation (DRE),Real Estate,17,6,6,5
DD,dupont_news,"DuPont de Nemours, Inc. (DD)",Materials,31,13,10,8
DXC,dxctechnology,DXC Technology Company (DXC),Information Technology,16,0,10,6
ETFC,etrade,E*TRADE Financial Corporation (ETFC),Financials,27,2,12,14
EMN,eastmanchemco,Eastman Chemical Company (EMN),Materials,28,13,7,8
ETN,eatoncorp,Eaton Corporation plc (ETN),Industrials,17,5,6,5
EBAY,ebay,eBay Inc. (EBAY),Consumer Discretionary,20,2,11,7
ECL,ecolab,Ecolab Inc. (ECL),Materials,31,14,10,7
EIX,edisonintl,Edison International (EIX),Utilities,36,15,13,8
EW,edwardslifesci,Edwards Lifesciences Corporation (EW),Health Care,19,3,9,8
EA,ea,Electronic Arts Inc. (EA),Communication Services,15,0,9,6
EMR,emerson_news,Emerson Electric Co. (EMR),Industrials,31,9,14,8
ETR,entergy,Entergy Corporation (ETR),Utilities,35,15,14,6
EOG,eog_news,"EOG Resources, Inc. (EOG)",Energy,45,24,13,8
EFX,equifax,Equifax Inc. (EFX),Industrials,28,0,21,7
EQR,equityres,Equity Residential (EQR),Real Estate,16,4,5,6
EL,elcompanies,The Estee Lauder Companies Inc. (EL),Consumer Staples,26,8,9,8
RE,everest_re,"Everest Re Group, Ltd. (RE)",Financials,28,2,12,14
ES,eversourcecorp,Eversource Energy (ES),Utilities,23,7,9,7
EXC,exelon,Exelon Corporation (EXC),Utilities,26,10,9,7
EXPE,expediagroup,"Expedia Group, Inc. (EXPE)",Consumer Discretionary,23,4,11,8
EXR,extraspace,Extra Space Storage Inc. (EXR),Real Estate,16,5,4,7
XOM,exxonmobil,Exxon Mobil Corporation (XOM),Energy,34,17,9,8
FFIV,f5networks,"F5 Networks, Inc. (FFIV)",Information Technology,18,1,11,5
FB,facebook,"Facebook, Inc. (FB)",Communication Services,33,2,19,12
FAST,fastenalcompany,Fastenal Company (FAST),Industrials,22,7,8,7
FRT,federalrealty,Federal Realty Investment Trust (FRT),Real Estate,16,4,5,7
FDX,fedex,FedEx Corporation (FDX),Industrials,21,6,9,6
FIS,fisglobal,"Fidelity National Information Services, Inc. (FIS)",Information Technology,19,0,12,7
FITB,fifththird,Fifth Third Bancorp (FITB),Financials,27,2,13,11
FRC,firstrepublic,First Republic Bank (FRC),Financials,26,2,12,12
FISV,fiserv,"Fiserv, Inc. (FISV)",Information Technology,20,0,12,7
FLT,fleetcor,"FLEETCOR Technologies, Inc. (FLT)",Information Technology,20,0,12,8
FLS,flowserve,Flowserve Corporation (FLS),Industrials,37,11,19,7
FMC,fmccorp,FMC Corporation (FMC),Materials,37,18,13,7
F,ford,Ford Motor Company (F),Consumer Discretionary,30,9,10,10
FTNT,fortinet,"Fortinet, Inc. (FTNT)",Information Technology,22,1,14,6
FTV,fortivecorp,Fortive Corporation (FTV),Industrials,32,10,15,7
FBHS,fbhs_news,"Fortune Brands Home & Security, Inc. (FBHS)",Industrials,26,14,4,8
FOXA,foxcorp,Fox Corporation (FOXA),Communication Services,50,59,45,53
GRMN,garminnews,Garmin Ltd. (GRMN),Consumer Discretionary,21,5,10,6
IT,gartner_inc,"Gartner, Inc. (IT)",Information Technology,29,0,20,9
GE,generalelectric,General Electric Company (GE),Industrials,46,15,19,12
GIS,generalmills,"General Mills, Inc. (GIS)",Consumer Staples,22,7,10,6
GM,gm,General Motors Company (GM),Consumer Discretionary,31,10,12,9
GPC,genuinepartsco,Genuine Parts Company (GPC),Consumer Discretionary,13,4,5,4
GILD,gileadsciences,"Gilead Sciences, Inc. (GILD)",Health Care,22,0,14,8
GPN,globalpayinc,Global Payments Inc. (GPN),Information Technology,22,0,14,8
GL,globelife,Globe Life Inc. (GL),Financials,27,2,9,16
GS,goldmansachs,"The Goldman Sachs Group, Inc. (GS)",Financials,32,1,15,16
GWW,grainger,"W.W. Grainger, Inc. (GWW)",Industrials,13,1,5,6
HAL,halliburton,Halliburton Company (HAL),Energy,30,11,11,8
HBI,hanesbrands,Hanesbrands Inc. (HBI),Consumer Discretionary,14,1,7,6
HOG,harleydavidson,"Harley-Davidson, Inc. (HOG)",Consumer Discretionary,18,4,8,6
HIG,thehartford,"The Hartford Financial Services Group, Inc. (HIG)",Financials,21,1,9,10
HAS,hasbro,"Hasbro, Inc. (HAS)",Consumer Discretionary,13,0,7,6
HCA,hcahealthcare,"HCA Healthcare, Inc. (HCA)",Health Care,28,3,17,8
