,Ticker,username,Name,Industry,Total ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,user_id
0,MMM,3m,3M Company (MMM),Industrials,34,12.6,12.6,8.4,378197959
1,AOS,aosmithhotwater,A. O. Smith Corporation (AOS),Industrials,32,9.5,14.9,7.6,50405635
2,ABT,abbottnews,Abbott Laboratories (ABT),Health Care,31,3.7,15.9,11.6,360054369
3,ABBV,abbvie,AbbVie Inc. (ABBV),Health Care,30,1.0,16.5,12.8,531892451
4,ACN,accenture,Accenture plc (ACN),Information Technology,15,1.0,8.2,6.3,10194682
5,ATVI,atvi_ab,"Activision Blizzard, Inc. (ATVI)",Communication Services,17,0.2,10.5,6.1,753670706311815169
6,ADBE,adobe,Adobe Inc. (ADBE),Information Technology,14,0.4,8.1,5.1,63786611
7,AAP,advanceauto,"Advance Auto Parts, Inc. (AAP)",Consumer Discretionary,13,0.1,9.1,3.7,76762658
8,AES,theaescorp,The AES Corporation (AES),Utilities,34,19.2,8.6,5.9,2541746143
9,AFL,aflac,Aflac Incorporated (AFL),Financials,24,2.1,8.0,13.6,23797083
10,A,agilent,"Agilent Technologies, Inc. (A)",Health Care,18,0.9,9.4,7.2,17278322
11,APD,airproducts,"Air Products and Chemicals, Inc. (APD)",Materials,12,6.4,1.6,3.7,109634966
12,AKAM,akamai,"Akamai Technologies, Inc. (AKAM)",Information Technology,21,1.8,11.8,7.3,19622847
13,ALB,albemarlecorp,Albemarle Corporation (ALB),Materials,37,19.7,8.9,8.7,342316270
14,ALXN,alexionpharma,"Alexion Pharmaceuticals, Inc. (ALXN)",Health Care,27,0.1,18.5,8.3,246664765
15,ALLE,allegionplc,Allegion plc (ALLE),Industrials,24,13.5,4.2,6.2,1516733046
16,ADS,alliancedata,Alliance Data Systems Corporation (ADS),Information Technology,17,0.1,10.7,6.1,30875335
17,LNT,alliantenergy,Alliant Energy Corporation (LNT),Utilities,35,18.5,10.1,6.8,14777626
18,ALL,allstate,The Allstate Corporation (ALL),Financials,21,1.5,8.6,11.3,14275290
19,GOOGL,alphabetlnc,Alphabet Inc. (GOOGL),Communication Services,30,0.9,15.9,12.8,3311858486
20,MO,altrianews,"Altria Group, Inc. (MO)",Consumer Staples,25,6.3,12.9,5.9,267893832
21,AMZN,amazon,"Amazon.com, Inc. (AMZN)",Consumer Discretionary,31,5.8,13.7,11.0,20793816
22,AAL,americanair,American Airlines Group Inc. (AAL),Industrials,30,11.0,14.0,5.0,22536055
23,AEP,aepnews,"American Electric Power Company, Inc. (AEP)",Utilities,31,16.0,9.0,6.0,41377904
24,AXP,americanexpress,American Express Company (AXP),Financials,22,0.0,12.0,10.0,42712551
25,AIG,aiginsurance,"American International Group, Inc. (AIG)",Financials,29,2.0,12.0,16.0,126118683
